date,slot,utm_campaign,campaign_id,title_template,content_template,cohort_size,push_impressions,utm_visited,ctr%,last_updated
24/03/2026,Morning,24March_MP_1_Clinic_xxRAJ,,Tuesday = let’s fix things day 🐾,"{pet parent}, small health checks go a long way. Visit Supertails+ Clinic & get 25% OFF all services. 🏥💜",949,82,3,3.66,2026-04-09 19:17:54
24/03/2026,Morning,24March_MP_2_Clinic_xxKAL,,Midweek fluff check ✂️🐶,Is {your pet} looking a little too “home mode”? Bring them in for 50% OFF grooming today. 🏥💜,2623,380,3,0.79,2026-04-09 19:17:54
24/03/2026,Morning,24March_MP_3_Clinic_xBDAY,,"{pet parent}, celebrations aren’t done yet🎉",It's still {your pet}'s birthday month. Get 50% OFF grooming for {your pet} at Supertails+ Clinic. 🏥💜,2550,391,2,0.51,2026-04-09 19:17:54
24/03/2026,Morning,24March_MP_4_Clinic_xDENT,,{your pet}'s gums = no crumbs🪥🦷,"{pet parent}, early checks prevent bigger issues. Visit for a FREE dental checkup for {your pet}. 🏥💜",1342,606,2,0.33,2026-04-09 19:17:54
24/03/2026,Morning,24March_MP_5_Clinic_xMULT,,Two floofs = double the drama 🐾🎭,Bring your floof + a friend’s. Book 1 grooming & get 1 FREE at our clinic. 🏥💜,3456,627,0,0.00,2026-04-09 19:17:54
24/03/2026,Morning,24March_MP_6_Clinic_xxN2B,,{your pet}: “We go vet today?” 👀,"Start right, {pet parent}. Visit Supertails+ Clinic & get ₹500 OFF your bill. 🏥💜",56438,3769,18,0.48,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_1_Clinic_xxRAJ,,Traffic jam? But Vet visit > 🚗😮‍💨,"Skip the chaos, {pet parent}. Get 25% OFF all clinic services at Supertails+. 🏥💜",4688,491,2,0.41,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_2_Clinic_xxKAL,,That “kaafi time ho gaya” look 🐶✂️,Fluff reset time. Enjoy 25% OFF grooming for {your pet} today. 🏥💜,8464,1033,2,0.19,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_3_Clinic_xBDAY,,{your pet} still in birthday mood btw 🎉,"Make it count, {pet parent}. Get 50% OFF grooming at Supertails+ Clinic. 🏥💜",3290,682,1,0.15,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_4_Clinic_xDENT,,That yawn exposed everything 👀🦷,Plaque builds up quietly. Get a FREE dental check for {your pet} today. 🏥💜,1644,562,1,0.18,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_5_Clinic_xMULT,,“Bring your friend” but make it floofs 🐾👯,"Two pets, one plan. Book 1 grooming & get 1 FREE at our clinic. 🏥💜",6394,1448,7,0.48,2026-04-09 19:17:54
25/03/2026,Evening,25March_MP_6_Clinic_xxN2B,,You + {your pet} = first clinic arc 🐾📖,"Make it smooth, {pet parent}. Visit today & get ₹500 OFF your clinic bill. 🏥💜",74331,7740,21,0.27,2026-04-09 19:17:54
26/03/2026,Evening,26March_MP_1_Clinic_xxxKR,,A new pet HQ unlocking soon 🐾🏥,"Hey {pet parent}, KR Puram gets a new safe space soon. {your pet}'s calm vet visits are about to get closer. 👀💜",5519,917,9,0.98,2026-04-09 19:17:54
31/03/2026,Evening,31March_MP_1_Clinic_xxxKR,,This new place is looking for the charm...✨🐾,"Which is only possible if you bring {your pet} in for a fun, stress-free experience. See you, KR Puram!🏥💜",5575,882,5,0.57,2026-04-09 19:17:54
